69945000;69945000;ACRELANDIA;AC;-9.82;-66.88
69935000;69935000;ASSIS BRASIL;AC;-10.94;-69.56
69932000;69932000;BRASILEIA;AC;-11.01;-68.74
69923000;69923000;BUJARI;AC;-9.83;-67.95
69922000;69922000;CAPIXABA;AC;-10.57;-67.67
69980000;69980000;CRUZEIRO DO SUL;AC;-7.63;-72.67
69934000;69934000;EPITACIOLANDIA;AC;-11.02;-68.74
69960000;69960000;FEIJO;AC;-8.16;-70.35
69975000;69975000;JORDAO;AC;-9.43;-71.88
69990000;69990000;MANCIO LIMA;AC;-7.61;-72.89
69950000;69950000;MANOEL URBANO;AC;-8.83;-69.26
69983000;69983000;MARECHAL THAUMATURGO;AC;-8.94;-72.79
69928000;69928000;PLACIDO DE CASTRO;AC;-10.27;-67.15
69921000;69921000;PORTO ACRE;AC;-9.58;-67.53
69982000;69982000;PORTO WALTER;AC;-8.26;-72.74
69900000;69920999;RIO BRANCO;AC;-9.97;-67.81
69985000;69985000;RODRIGUES ALVES;AC;-7.74;-72.64
69955000;69955000;SANTA ROSA DO PURUS;AC;-9.43;-70.49
69940000;69940000;SENA MADUREIRA;AC;-9.06;-68.65
69925000;69925000;SENADOR GUIOMARD;AC;-10.15;-67.73
69970000;69970000;TARAUACA;AC;-8.16;-70.76
69930000;69930000;XAPURI;AC;-10.65;-68.5
57490000;57490000;AGUA BRANCA;AL;-9.26;-37.93
57660000;57660000;ANADIA;AL;-9.68;-36.3
57300000;57319800;ARAPIRACA;AL;-9.75;-36.66
57690000;57693000;ATALAIA;AL;-9.5;-36.02
57925000;57925000;BARRA DE SANTO ANTONIO;AL;-9.4;-35.5
57180000;57180000;BARRA DE SAO MIGUEL;AL;-9.84;-35.9
57420000;57420000;BATALHA;AL;-9.67;-37.12
57630000;57630000;BELEM;AL;-9.57;-36.49
57435000;57435000;BELO MONTE;AL;-9.82;-37.28
57680000;57680000;BOCA DA MATA;AL;-9.64;-36.22
57830000;57830000;BRANQUINHA;AL;-9.24;-36.01
57570000;57570000;CACIMBINHAS;AL;-9.4;-36.99
57770000;57770000;CAJUEIRO;AL;-9.39;-36.15
57968000;57968000;CAMPESTRE;AL;-8.84;-35.56
57250000;57250000;CAMPO ALEGRE;AL;-9.78;-36.35
57350000;57350000;CAMPO GRANDE;AL;-9.95;-36.79
57530000;57530000;CANAPI;AL;-9.12;-37.6
57780000;57790000;CAPELA;AL;-9.4;-36.07
57535000;57535000;CARNEIROS;AL;-9.48;-37.37
57760000;57760000;CHA PRETA;AL;-9.25;-36.29
57325000;57325000;COITE DO NOIA;AL;-9.63;-36.57
57975000;57975000;COLONIA LEOPOLDINA;AL;-8.9;-35.72
57140000;57140000;COQUEIRO SECO;AL;-9.63;-35.8
57230000;57235000;CORURIPE;AL;-10.12;-36.17
57320000;57320000;CRAIBAS;AL;-9.61;-36.76
57480000;57480000;DELMIRO GOUVEIA;AL;-9.38;-37.99
57560000;57560000;DOIS RIACHOS;AL;-9.39;-37.1
57625000;57625000;ESTRELA DE ALAGOAS;AL;-9.39;-36.76
57340000;57340000;FEIRA GRANDE;AL;-9.9;-36.67
57220000;57220000;FELIZ DESERTO;AL;-10.29;-36.3
57995000;57995000;FLEXEIRAS;AL;-9.27;-35.71
57360000;57360000;GIRAU DO PONCIANO;AL;-9.88;-36.82
57890000;57895000;IBATEGUARA;AL;-8.97;-35.93
57620000;57620000;IGACI;AL;-9.53;-36.63
57280000;57280000;IGREJA NOVA;AL;-10.12;-36.66
57545000;57545000;INHAPI;AL;-9.21;-37.75
57960000;57960000;JACUIPE;AL;-8.84;-35.46
57950000;57950000;JAPARATINGA;AL;-9.08;-35.25
57425000;57425000;JARAMATAIA;AL;-9.65;-37
57980000;57980000;JOAQUIM GOMES;AL;-9.13;-35.74
57965000;57965000;JUNDIA;AL;-8.93;-35.57
57270000;57270000;JUNQUEIRO;AL;-9.92;-36.47
57330000;57330000;LAGOA DA CANOA;AL;-9.83;-36.73
57260000;57260000;LIMOEIRO DE ANADIA;AL;-9.74;-36.5
57000000;57099999;MACEIO;AL;-9.66;-35.73
57580000;57585000;MAJOR ISIDORO;AL;-9.53;-36.98
57730000;57730000;MAR VERMELHO;AL;-9.44;-36.38
57955000;57958000;MARAGOGI;AL;-9.01;-35.22
57520000;57520000;MARAVILHA;AL;-9.23;-37.35
57160000;57160000;MARECHAL DEODORO;AL;-9.71;-35.89
57670000;57670000;MARIBONDO;AL;-9.57;-36.3
57540000;57540000;MATA GRANDE;AL;-9.11;-37.73
57910000;57910000;MATRIZ DE CAMARAGIBE;AL;-9.15;-35.53
57990000;57990000;MESSIAS;AL;-9.38;-35.84
57615000;57615000;MINADOR DO NEGRAO;AL;-9.3;-36.86
57440000;57440000;MONTEIROPOLIS;AL;-9.6;-37.24
57820000;57820000;MURICI;AL;-9.3;-35.94
57970000;57970000;NOVO LINO;AL;-8.91;-35.64
57550000;57550000;OLIVENCA;AL;-9.51;-37.19
57525000;57525000;OURO BRANCO;AL;-9.16;-37.35
57410000;57410000;PALESTINA;AL;-9.67;-37.32
57400000;57405000;PAO DE ACUCAR;AL;-9.74;-37.43
57475000;57475000;PARICONHA;AL;-9.25;-38
57935000;57935000;PARIPUEIRA;AL;-9.46;-35.55
57930000;57930000;PASSO DE CAMARAGIBE;AL;-9.23;-35.49
57740000;57740000;PAULO JACINTO;AL;-9.36;-36.37
57200000;57200000;PENEDO;AL;-10.29;-36.58
57210000;57210000;PIACABUCU;AL;-10.4;-36.43
57150000;57150000;PILAR;AL;-9.59;-35.95
